institution_code,institution_name
9872,Escuela Basica Prof.Ramon Del Rio
9873,Escuela Basica Pacto Andino
9874,Escuela Lothar Kommer Bruger
9875,Escuela Cerrillos
9876,Escuela General San Martin
9877,Escuela General Ohiggins
9878,Escuela Presidente Riesco Errazuriz
9879,Escuela Basica
9880,Escuela  Basica  Estado  De  Palestina
9881,Escuela Vicente Reyes Palazuelos
9882,Escuela J.Prieto Vial
9883,Escuela Básica N 263 Ramon Freire
9884,Escuela Leon Humberto Valenzuela
9886,Escuela Estrella Reina De Chile
9887,Escuela El Llano De Maipu
9888,Escuela Santa Adela
9889,Liceo Reino De Dinamarca
9890,Escuela Tomas Vargas
9891,Republica De Guatemala
9892,Escuela Las Americas
9895,Escuela Basica Reina De Suecia
9896,Liceo Alcalde Gonzalo Perez Llona
558,Colegio Punta De Teatinos
6846,Liceo San Luis De Alba
10010,Mustafa Kemal Ataturk
10074,Escuela Alianza
10075,Liceo Polivalente Los Heroes De La Concepción
10076,Complejo Educacional Pedro Prado
10077,Liceo Mun. Centro Educacional Pudahuel
10080,Escuela Teniente Hernan Merino Correa
10081,Escuela Estrella De Chile
10083,Escuela Presidente Roosevelt
10085,Escuela Estado De Florida
10086,Escuela Republica De Italia
1581,Liceo Juana Ross De Edwards
10087,Escuela Republica De Croacia
10088,Escuela Herminda De La Victoria
10089,Escuela Jaime Gomez Garcia
10090,Escuela Alexander Graham Bell
10092,Escuela Golda Meir
10093,Escuela Millahue
10095,Escuela Ignacio Carrera Pinto
10097,Escuela Mariscal De Ayacucho
10091,Liceo Profesora Gladys Valenzuela
10098,Escuela Provincia De Arauco
10099,Escuela General Rene Escauriaza
10100,Escuela El Salitre
10102,Escuela Albert Einstein
10103,Escuela Sor Teresa De Los Andes
